CookerStat, GenerateAssetRegistry=0.016678, Initialize=0.089038, RunGuid=RunIDC3C89141465CC5E0489CFABA5447B6E0
DDCTransactionIdF7F6E64440FA3B3F52861E8CD122ED9E_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_02737F9B4F0E8D6E1ADE23B3839EE9B__FCE1BB94714E89EB979981072685320092EDF6B5, StartTime=2016.07.04-18.06.26, HierarchicalDDC=, DataSize=840, Duration=3.450144, RunGuid=RunIDC3C89141465CC5E0489CFABA5447B6E0
SavePackageTransactionId5E4E5ECD457E5D3312C1CCA54E3630C3_0, Filename=../../../../../../Users/User/Documents/Unreal Projects/MyProject/Content/StarterContent/Architecture/Floor_400x400.uasset, AutoPackageBackupDelegate=3.195606, FlushAsyncLoading=0.007696, FlushStreamingFunc=0.035409, BlockTillAllRequestsFinished=0.023350, ResetLoadersForSaveUnMarkAllObjects=0.710249, TagPackageExports=0.021040, BeginCacheForCookedPlatformData=0.001024, SerializeImports=0.691518, GatherLocalizableTextData=0.433128, MarkNames=0.007439, SerializeSummary=0.011034, SerializeNames=0.043619, SerializeGatherableTextData=0.001028, BuildExportMap=0.016678, SortExportsNonSeekfree=0.007953, SortExportsSeekfreeConstructor=0.050806, SortExportsSeekfreeInner=0.438776, SortExportsSeekfree=0.002563, BuildDependencyMap=0.008468, SerializeImportMap=0.006925, SerializeExportMap=0.003595, SerializeDependencyMap=0.002310, SerializeStringAssetReferenceMap=0.001539, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.787704, SerializeExports=0.170633, SerializeBulkData=0.017449, MoveFile=3.158398, UnaccountedTime=3.770370, RunGuid=RunIDC3C89141465CC5E0489CFABA5447B6E0
DDCTransactionIdA454FAC048F9DB0D2E621BAA749C94D8_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C418824E4EA51B7ABCD164BCEEBBFBB__790FD0E002ADB86E90C7606AE12BDD1A6B04FC1F, StartTime=2016.07.04-18.06.26, HierarchicalDDC=, DataSize=15261, Duration=5.967576, RunGuid=RunIDC3C89141465CC5E0489CFABA5447B6E0
DDCTransactionId1786568249DB058EABCF69A49B4C0C5A_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_C418824E4EA51B7AB__6F8920BE2BA6C3E595847FDD9E0C441C6B013D28, StartTime=2016.07.04-18.06.26, HierarchicalDDC=, DataSize=5902, Duration=6.509241, RunGuid=RunIDC3C89141465CC5E0489CFABA5447B6E0
DDCTransactionIdAD5DCECE4E027F6CF18E11A22C71D5C5_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A3DB5DE64093EAD778E380B675001A7D_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.07.04-18.06.26, Duration=1857.005859, RunGuid=RunIDC3C89141465CC5E0489CFABA5447B6E0
DDCTransactionIdF7F6E64440FA3B3F52861E8CD122ED9E_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A3DB5DE64093EAD778E380B675001__4391A10CC26AA4C4450E7B2CD2AEC0C8A5173452, StartTime=2016.07.04-18.06.28, HierarchicalDDC=, DataSize=4194569, Duration=13.288416, RunGuid=RunIDC3C89141465CC5E0489CFABA5447B6E0
DDCTransactionIdA454FAC048F9DB0D2E621BAA749C94D8_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A3DB5DE64093EAD778E380B675001__6C6F55C709D2C6D80259E91B165FF0DD201E8414, StartTime=2016.07.04-18.06.28, HierarchicalDDC=, DataSize=1048841, Duration=7.872775, RunGuid=RunIDC3C89141465CC5E0489CFABA5447B6E0
DDCTransactionId1786568249DB058EABCF69A49B4C0C5A_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A3DB5DE64093EAD778E380B675001__472D707A7B0E529368F4E14ACA7E1BDEFAF3278C, StartTime=2016.07.04-18.06.28, HierarchicalDDC=, DataSize=262407, Duration=7.028327, RunGuid=RunIDC3C89141465CC5E0489CFABA5447B6E0
DDCTransactionId1786568249DB058EABCF69A49B4C0C5A_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A3DB5DE64093EAD778E380B675001__9E6D38A40922F5A1400995BEF8AB2BB72102E08E, StartTime=2016.07.04-18.06.28, HierarchicalDDC=, DataSize=65799, Duration=4.512694, RunGuid=RunIDC3C89141465CC5E0489CFABA5447B6E0
DDCTransactionIdA454FAC048F9DB0D2E621BAA749C94D8_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A3DB5DE64093EAD778E380B675001__8549BBC3C19930FB5DB1555B9B25836589078D63, StartTime=2016.07.04-18.06.28, HierarchicalDDC=, DataSize=16647, Duration=4.179381, RunGuid=RunIDC3C89141465CC5E0489CFABA5447B6E0
DDCTransactionIdF7F6E64440FA3B3F52861E8CD122ED9E_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A3DB5DE64093EAD778E380B675001__26044AC63EDE5B72823857B3B8293FF58CDB07D1, StartTime=2016.07.04-18.06.28, HierarchicalDDC=, DataSize=7493, Duration=5.262457, RunGuid=RunIDC3C89141465CC5E0489CFABA5447B6E0
DDCTransactionIdAD5DCECE4E027F6CF18E11A22C71D5C5_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_953E836541FD413A56AE28B92BC05FD4_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.07.04-18.06.28, Duration=306.892395, RunGuid=RunIDC3C89141465CC5E0489CFABA5447B6E0
DDCTransactionIdA454FAC048F9DB0D2E621BAA749C94D8_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_953E836541FD413A56AE28B92BC05FD4___E459626E63ED45EF561A856BABEAE27A84746866, StartTime=2016.07.04-18.06.29, HierarchicalDDC=, DataSize=4194565, Duration=12.014176, RunGuid=RunIDC3C89141465CC5E0489CFABA5447B6E0
DDCTransactionId1786568249DB058EABCF69A49B4C0C5A_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_953E836541FD413A56AE28B92BC05FD4___D4735834DC35101E223B6ED198367AF339378B4F, StartTime=2016.07.04-18.06.29, HierarchicalDDC=, DataSize=1048837, Duration=6.731194, RunGuid=RunIDC3C89141465CC5E0489CFABA5447B6E0
DDCTransactionIdF7F6E64440FA3B3F52861E8CD122ED9E_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_953E836541FD413A56AE28B92BC05FD4___0D07BA7E0DD518C73916733CF297FC9510B3F16D, StartTime=2016.07.04-18.06.29, HierarchicalDDC=, DataSize=262403, Duration=6.420203, RunGuid=RunIDC3C89141465CC5E0489CFABA5447B6E0
DDCTransactionId1786568249DB058EABCF69A49B4C0C5A_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_953E836541FD413A56AE28B92BC05FD4___3AC301F275406FCA314BBE61C1954B9F2AE85579, StartTime=2016.07.04-18.06.29, HierarchicalDDC=, DataSize=65795, Duration=4.682813, RunGuid=RunIDC3C89141465CC5E0489CFABA5447B6E0
DDCTransactionIdF7F6E64440FA3B3F52861E8CD122ED9E_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_953E836541FD413A56AE28B92BC05FD4___87B94521736ABA8A26F8F28B88597DA69B20E433, StartTime=2016.07.04-18.06.29, HierarchicalDDC=, DataSize=16643, Duration=26.312798, RunGuid=RunIDC3C89141465CC5E0489CFABA5447B6E0
